COMPANYID,PESEQUENCENO,CASENO,PROJECTNO,PARENTBLOCKNO,CHILDBLOCKNO,CHILDBLOCKTYPE,PEORDER,PELAG,PEDATE,EQUIPMENTCODE,EQUIPMENTDATE,EQUIPMENTTIME,NUMOFEQUIPMENT,ACTUALPEDATE,CREATEDATE,CREATEUSER,UPDATEDATE,UPDATEUSER
D,95909901,2020-36-04,5466,80D,8X1,B,6,4,2020-02-15,TTNO1T00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909902,2020-36-04,5466,90A,904,B,7,91,2019-10-07,GCSHDC00,,0,,,2020-04-20,1007589,2020-04-23,1008003
D,95909903,2020-36-04,5466,90A,905,B,8,94,2019-10-10,GCSHDC00,,0,,,2020-04-20,1007589,2020-04-23,1008003
D,95909904,2020-36-04,5466,90A,906,B,11,102,2019-10-18,GCSHDC00,,0,,,2020-04-20,1007589,2020-04-23,1008003
D,95909905,2020-36-04,5466,91A,910,B,7,294,2019-11-04,GCSHDC00,,0,,,2020-04-20,1007589,2020-04-23,1008003
D,95909906,2020-36-04,5466,91A,913,B,5,86,2019-10-09,GCSHDC00,,,,,2020-04-20,1007589,2020-04-23,1008003
D,95909907,2020-36-04,5466,91A,914,B,6,91,2019-10-14,GCSHDC00,,,,,2020-04-20,1007589,2020-04-23,1008003
D,95909908,2020-36-04,5466,90A,921,B,1,77,2019-09-23,GCSHDC00,,0,,,2020-04-20,1007589,2020-04-23,1008003
D,95909909,2020-36-04,5466,90A,922,B,3,80,2019-09-26,GCSHDC00,,0,,,2020-04-20,1007589,2020-04-23,1008003
D,95909910,2020-36-04,5466,90A,923,B,5,85,2019-10-01,GCSHDC00,,0,,,2020-04-20,1007589,2020-04-23,1008003
D,95909911,2020-36-04,5466,90A,931,B,2,77,2019-09-23,GCSHDC00,,0,,,2020-04-20,1007589,2020-04-23,1008003
D,95909912,2020-36-04,5466,90A,932,B,4,80,2019-09-26,GCSHDC00,,0,,,2020-04-20,1007589,2020-04-23,1008003
D,95909913,2020-36-04,5466,90A,933,B,6,85,2019-10-01,GCSHDC00,,0,,,2020-04-20,1007589,2020-04-23,1008003
D,95909914,2020-36-04,5466,91A,941,B,1,77,2019-09-30,GCSHDC00,,0,,,2020-04-20,1007589,2020-04-23,1008003
D,95909915,2020-36-04,5466,91A,942,B,3,81,2019-10-04,GCSHDC00,,,,,2020-04-20,1007589,2020-04-23,1008003
D,95909916,2020-36-04,5466,91A,951,B,2,77,2019-09-30,GCSHDC00,,0,,,2020-04-20,1007589,2020-04-23,1008003
D,95909917,2020-36-04,5466,91A,952,B,4,81,2019-10-04,GCSHDC00,,,,,2020-04-20,1007589,2020-04-23,1008003
D,95909918,2020-36-04,5466,90A,981,B,9,99,2019-10-15,GCSHDC00,,0,,,2020-04-20,1007589,2020-04-23,1008003
D,95909919,2020-36-04,5466,90A,991,B,10,99,2019-10-15,GCSHDC00,,0,,,2020-04-20,1007589,2020-04-23,1008003
D,95909920,2020-36-04,5466,90A,9X1,B,12,102,2019-10-18,GCSHDC00,,0,,,2020-04-20,1007589,2020-04-23,1008003
