COMPANYID,PESEQUENCENO,CASENO,PROJECTNO,PARENTBLOCKNO,CHILDBLOCKNO,CHILDBLOCKTYPE,PEORDER,PELAG,PEDATE,EQUIPMENTCODE,EQUIPMENTDATE,EQUIPMENTTIME,NUMOFEQUIPMENT,ACTUALPEDATE,CREATEDATE,CREATEUSER,UPDATEDATE,UPDATEUSER
D,95909759,2020-36-04,5466,62E,225,B,1,0,2019-12-18,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909760,2020-36-04,5466,62F,226,B,1,0,2019-12-26,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909761,2020-36-04,5466,62G,227,B,1,0,2020-01-10,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909762,2020-36-04,5466,62H,228,B,1,0,2020-01-16,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909763,2020-36-04,5466,20J,229,B,5,3,2020-01-23,GCNO4C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909764,2020-36-04,5466,23A,231,B,1,0,2019-12-07,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909765,2020-36-04,5466,23B,232,B,1,0,2019-12-09,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909766,2020-36-04,5466,63C,233,B,1,0,2019-12-14,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909767,2020-36-04,5466,63D,234,B,1,0,2019-12-23,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909768,2020-36-04,5466,63E,235,B,1,0,2019-12-19,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909769,2020-36-04,5466,63F,236,B,1,0,2019-12-26,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909770,2020-36-04,5466,63G,237,B,1,0,2020-01-10,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909771,2020-36-04,5466,63H,238,B,1,0,2020-01-16,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909772,2020-36-04,5466,20J,239,B,4,3,2020-01-23,GCNO4C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909773,2020-36-04,5466,20K,241,B,5,7,2020-01-29,GCNO4C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909774,2020-36-04,5466,20L,242,B,5,3,2020-02-01,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909775,2020-36-04,5466,20M,243,B,2,0,2020-01-30,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909776,2020-36-04,5466,20N,244,B,2,0,2020-01-23,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909777,2020-36-04,5466,20K,251,B,4,7,2020-01-29,GCNO4C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909778,2020-36-04,5466,20L,252,B,4,3,2020-02-01,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909779,2020-36-04,5466,20M,253,B,1,0,2020-01-30,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909780,2020-36-04,5466,20N,254,B,1,0,2020-01-23,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909781,2020-36-04,5466,22A,261,B,2,0,2019-12-07,GCNO1C00,Day조60,120,,,2020-04-20,1007589,2020-04-23,1008003
D,95909782,2020-36-04,5466,22B,262,B,3,4,2019-12-13,GCNO1C00,Day조60,120,,,2020-04-20,1007589,2020-04-23,1008003
D,95909783,2020-36-04,5466,62C,263,B,2,0,2019-12-14,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909784,2020-36-04,5466,23A,271,B,2,0,2019-12-07,GCNO1C00,Day조60,120,,,2020-04-20,1007589,2020-04-23,1008003
D,95909785,2020-36-04,5466,23B,272,B,3,4,2019-12-13,GCNO1C00,Day조60,120,,,2020-04-20,1007589,2020-04-23,1008003
D,95909786,2020-36-04,5466,63C,273,B,2,0,2019-12-14,GCNO1C00,Night,60,,,2020-04-20,1007589,2020-04-23,1008003
D,95909787,2020-36-04,5466,20M,283,B,4,2,2020-02-01,GCNO1C00,Day조60,120,,,2020-04-20,1007589,2020-04-23,1008003
