COMPANYID,RELATIONNO,CASENO,PROJECTNO,PREVACTIVITYCODE,NEXTACTIVITYCODE,RELATIONTYPE,LAG,LOCATIONCODE,LOCATIONTYPE
D,1114171174,2020-36-04,5466,C625CC00,C625CP00,SS,-1,625,B
D,1114171175,2020-36-04,5466,S626A000,C626CC00,SS,-7,626,B
D,1114171176,2020-36-04,5466,C626CC00,C626CP00,SS,-1,626,B
D,1114171177,2020-36-04,5466,S627A000,C627CC00,SS,-7,627,B
D,1114171178,2020-36-04,5466,C627CC00,C627CP00,SS,-1,627,B
D,1114171179,2020-36-04,5466,S628A000,C628CC00,SS,-7,628,B
D,1114171180,2020-36-04,5466,C628CC00,C628CP00,SS,-1,628,B
D,1114171181,2020-36-04,5466,S629A000,C629CC00,SS,-7,629,B
D,1114171182,2020-36-04,5466,C629CC00,C629CP00,SS,-1,629,B
D,1114171183,2020-36-04,5466,S631A000,C631CC00,SS,-7,631,B
D,1114171184,2020-36-04,5466,C631CC00,C631CP00,SS,-1,631,B
D,1114171185,2020-36-04,5466,S632A000,C632CC00,SS,-7,632,B
D,1114171186,2020-36-04,5466,C632CC00,C632CP00,SS,-1,632,B
D,1114171187,2020-36-04,5466,S633A000,C633CC00,SS,-7,633,B
D,1114171188,2020-36-04,5466,C633CC00,C633CP00,SS,-1,633,B
D,1114171189,2020-36-04,5466,S634A000,C634CC00,SS,-7,634,B
D,1114171190,2020-36-04,5466,C634CC00,C634CP00,SS,-1,634,B
D,1114171191,2020-36-04,5466,S635A000,C635CC00,SS,-7,635,B
D,1114171192,2020-36-04,5466,C635CC00,C635CP00,SS,-1,635,B
D,1114171193,2020-36-04,5466,S636A000,C636CC00,SS,-7,636,B
D,1114171194,2020-36-04,5466,C636CC00,C636CP00,SS,-1,636,B
D,1114171195,2020-36-04,5466,S637A000,C637CC00,SS,-7,637,B
D,1114171196,2020-36-04,5466,C637CC00,C637CP00,SS,-1,637,B
D,1114171197,2020-36-04,5466,S638A000,C638CC00,SS,-7,638,B
D,1114171198,2020-36-04,5466,C638CC00,C638CP00,SS,-1,638,B
D,1114171199,2020-36-04,5466,S639A000,C639CC00,SS,-7,639,B
D,1114171200,2020-36-04,5466,C639CC00,C639CP00,SS,-1,639,B
D,1114171201,2020-36-04,5466,S641A000,C641CC00,SS,-7,641,B
D,1114171202,2020-36-04,5466,C641CC00,C641CP00,SS,-1,641,B
D,1114171203,2020-36-04,5466,S642A000,C642CC00,SS,-8,642,B
D,1114171204,2020-36-04,5466,C642CC00,C642CP00,SS,-1,642,B
D,1114171205,2020-36-04,5466,S643A000,C643CC00,SS,-7,643,B
D,1114171206,2020-36-04,5466,C643CC00,C643CP00,SS,-1,643,B
D,1114171207,2020-36-04,5466,S644A000,C644CC00,SS,-7,644,B
D,1114171208,2020-36-04,5466,C644CC00,C644CP00,SS,-1,644,B
D,1114171209,2020-36-04,5466,S651A000,C651CC00,SS,-7,651,B
D,1114171210,2020-36-04,5466,C651CC00,C651CP00,SS,-1,651,B
D,1114171211,2020-36-04,5466,S652A000,C652CC00,SS,-7,652,B
D,1114171212,2020-36-04,5466,C652CC00,C652CP00,SS,-1,652,B
D,1114171213,2020-36-04,5466,S653A000,C653CC00,SS,-7,653,B
D,1114171214,2020-36-04,5466,C653CC00,C653CP00,SS,-1,653,B
D,1114171215,2020-36-04,5466,S654A000,C654CC00,SS,-7,654,B
D,1114171216,2020-36-04,5466,C654CC00,C654CP00,SS,-1,654,B
D,1114171217,2020-36-04,5466,S661A000,C661CC00,SS,-8,661,B
D,1114171218,2020-36-04,5466,C661CC00,C661CP00,SS,-1,661,B
D,1114171219,2020-36-04,5466,S671A000,C671CC00,SS,-7,671,B
D,1114171220,2020-36-04,5466,C671CC00,C671CP00,SS,-1,671,B
D,1114171221,2020-36-04,5466,S721A000,C721CC00,SS,-7,721,B
D,1114171222,2020-36-04,5466,C721CC00,C721CP00,SS,-1,721,B
D,1114171223,2020-36-04,5466,S722A000,C722CC00,SS,-9,722,B
D,1114171224,2020-36-04,5466,C722CC00,C722CP00,SS,-1,722,B
D,1114171225,2020-36-04,5466,S723A000,C723CC00,SS,-7,723,B
D,1114171226,2020-36-04,5466,C723CC00,C723CP00,SS,-1,723,B
D,1114171227,2020-36-04,5466,S724A000,C724CC00,SS,-7,724,B
D,1114171228,2020-36-04,5466,C724CC00,C724CP00,SS,-1,724,B
D,1114171229,2020-36-04,5466,S725A000,C725CC00,SS,-7,725,B
D,1114171230,2020-36-04,5466,C725CC00,C725CP00,SS,-1,725,B
D,1114171231,2020-36-04,5466,S726A000,C726CC00,SS,-7,726,B
D,1114171232,2020-36-04,5466,C726CC00,C726CP00,SS,-1,726,B
D,1114171233,2020-36-04,5466,S727A000,C727CC00,SS,-7,727,B
D,1114171234,2020-36-04,5466,C727CC00,C727CP00,SS,-1,727,B
D,1114171235,2020-36-04,5466,S728A000,C728CC00,SS,-7,728,B
D,1114171236,2020-36-04,5466,C728CC00,C728CP00,SS,-1,728,B
D,1114171237,2020-36-04,5466,S729A000,C729CC00,SS,-8,729,B
D,1114171238,2020-36-04,5466,C729CC00,C729CP00,SS,-1,729,B
D,1114171239,2020-36-04,5466,S731A000,C731CC00,SS,-10,731,B
D,1114171240,2020-36-04,5466,C731CC00,C731CP00,SS,-1,731,B
D,1114171241,2020-36-04,5466,S732A000,C732CC00,SS,-7,732,B
D,1114171242,2020-36-04,5466,C732CC00,C732CP00,SS,-1,732,B
D,1114171243,2020-36-04,5466,S733A000,C733CC00,SS,-7,733,B
D,1114171244,2020-36-04,5466,C733CC00,C733CP00,SS,-1,733,B
D,1114171245,2020-36-04,5466,S734A000,C734CC00,SS,-7,734,B
D,1114171246,2020-36-04,5466,C734CC00,C734CP00,SS,-1,734,B
D,1114171247,2020-36-04,5466,S735A000,C735CC00,SS,-11,735,B
D,1114171248,2020-36-04,5466,C735CC00,C735CP00,SS,-1,735,B
D,1114171249,2020-36-04,5466,S736A000,C736CC00,SS,-8,736,B
D,1114171250,2020-36-04,5466,C736CC00,C736CP00,SS,-1,736,B
D,1114171251,2020-36-04,5466,S737A000,C737CC00,SS,-7,737,B
D,1114171252,2020-36-04,5466,C737CC00,C737CP00,SS,-1,737,B
D,1114171253,2020-36-04,5466,S738A000,C738CC00,SS,-8,738,B
D,1114171254,2020-36-04,5466,C738CC00,C738CP00,SS,-1,738,B
D,1114171255,2020-36-04,5466,S739A000,C739CC00,SS,-7,739,B
D,1114171256,2020-36-04,5466,C739CC00,C739CP00,SS,-1,739,B
D,1114171257,2020-36-04,5466,S741A000,C741CC00,SS,-7,741,B
D,1114171258,2020-36-04,5466,C741CC00,C741CP00,SS,-1,741,B
D,1114171259,2020-36-04,5466,S742A000,C742CC00,SS,-7,742,B
D,1114171260,2020-36-04,5466,C742CC00,C742CP00,SS,-1,742,B
D,1114171261,2020-36-04,5466,S743A000,C743CC00,SS,-7,743,B
D,1114171262,2020-36-04,5466,C743CC00,C743CP00,SS,-1,743,B
D,1114171263,2020-36-04,5466,S744A000,C744CC00,SS,-8,744,B
D,1114171264,2020-36-04,5466,C744CC00,C744CP00,SS,-1,744,B
D,1114171265,2020-36-04,5466,S751A000,C751CC00,SS,-8,751,B
D,1114171266,2020-36-04,5466,C751CC00,C751CP00,SS,-1,751,B
D,1114171267,2020-36-04,5466,S752A000,C752CC00,SS,-8,752,B
D,1114171268,2020-36-04,5466,C752CC00,C752CP00,SS,-1,752,B
D,1114171269,2020-36-04,5466,S753A000,C753CC00,SS,-7,753,B
D,1114171270,2020-36-04,5466,C753CC00,C753CP00,SS,-1,753,B
