COMPANYID,CASENO,PROJECTNO,ACTIVITYCODE,LOCATIONCODE,LOCATIONTYPE,STAGECODE,FLAGCODE,PROCESSCODE,PROCESSSERNO,SHOPCODE,WORKCODE,SECTCODE,PLANSTARTDATE,PLANFINISHDATE,PLANDURATION,LAG,MH1,VOL1,VOL2,RELATIONTYPE,PREVSTAGECODE,PREVFLAGCODE,PREVPROCESSCODE,PREVPROCESSSERNO,RELATIONNO
D,2020-36-04,5466,C923CC00,923,B,J,C,C,C00,SHD,CCBK,9999,2019-07-25,2019-08-28,14,-7,77.2,42.1,0,SS,B,S,A,000,1114171325
D,2020-36-04,5466,W262GA00,262,B,A,W,G,A00,GOS,WBHD,2204,2019-11-11,2019-11-20,8,-4,8.3,0,0,FS,B,S,A,000,1114172331
D,2020-36-04,5466,P823BP00,823,B,B,P,B,P00,NO1,PBPT,6200,2020-01-29,2020-02-06,7,1,79.1,3559,4424.8,FS,B,P,B,C00,1114172029
D,2020-36-04,5466,C661CP00,661,B,J,C,C,P00,CTS,CPBK,2100,2019-10-21,2019-11-15,20,-1,7.5,0,0,SS,J,C,C,C00,1114171218
D,2020-36-04,5466,C541CP00,541,B,J,C,C,P00,CTS,CPBK,2100,2019-10-29,2019-11-13,12,-1,7.8,0,0,SS,J,C,C,C00,1114171146
D,2020-36-04,5466,W644GA00,644,B,A,W,G,A00,GOS,WBHD,2204,2019-12-26,2020-01-09,9,-4,35.4,0,0,FS,B,S,A,000,1114172494
D,2020-36-04,5466,Z145ZBI0,145,B,B,Z,Z,BI0,PSA,ESCF,9999,2019-12-11,2019-12-11,1,1,13.9,69.8,0,FS,B,W,G,B00,1114172671
D,2020-36-04,5466,P106BP00,106,B,B,P,B,P00,NO1,PBPT,6200,2019-12-04,2019-12-12,7,1,37.7,797.7,789.6,FS,B,P,B,C00,1114171655
D,2020-36-04,5466,P544BP00,544,B,B,P,B,P00,NO1,PBPT,6200,2020-01-13,2020-01-20,6,1,86.1,3240.1,2769.2,FS,B,P,B,C00,1114171893
D,2020-36-04,5466,S531A000,531,B,B,S,A,000,PBS,SBBK,####,2019-11-25,2019-12-11,13,,572.1,2895.9,0,,,,,,
D,2020-36-04,5466,W143GC00,143,B,C,W,G,C00,OFD,WBER,4600,2019-10-21,2019-11-12,17,4,86.9,0,0,SS,B,S,A,000,1114172206
D,2020-36-04,5466,C922CC00,922,B,J,C,C,C00,SHD,CCBK,9999,2019-07-22,2019-08-23,14,-7,71,40.5,0,SS,B,S,A,000,1114171323
D,2020-36-04,5466,C835CP00,835,B,J,C,C,P00,CTS,CPBK,2100,2019-12-10,2020-01-06,17,-1,0,0,0,SS,J,C,C,C00,1114171304
