COMPANYID,CASENO,PROJECTNO,ACTIVITYCODE,LOCATIONCODE,LOCATIONTYPE,STAGECODE,FLAGCODE,PROCESSCODE,PROCESSSERNO,SHOPCODE,WORKCODE,SECTCODE,PLANSTARTDATE,PLANFINISHDATE,PLANDURATION,LAG,MH1,VOL1,VOL2,RELATIONTYPE,PREVSTAGECODE,PREVFLAGCODE,PREVPROCESSCODE,PREVPROCESSSERNO,RELATIONNO
D,2020-36-04,5466,E10AP000,10A,P,P,E,P,000,NO1,EHPT,4100,2019-11-11,2019-11-22,10,0,360.6,164.8,0,SS,P,T,O,000,1114318133
D,2020-36-04,5466,Z50CZPR0,50C,P,P,Z,Z,PR0,NO1,ESCF,2901,2020-01-17,2020-01-17,1,1,6.9,7.5,0,FS,P,P,P,P00,1114318134
D,2020-36-04,5466,Z90AZPI0,90A,P,P,Z,Z,PI0,SHD,ESCF,9999,2019-09-23,2019-10-21,20,0,0,0,0,SS,P,E,P,000,1114318135
D,2020-36-04,5466,T63CO000,63C,P,P,T,O,000,NO1,####,####,2019-12-16,2020-01-17,22,,0,0,0,,,,,,
D,2020-36-04,5466,E10FPS00,10F,P,P,E,P,S00,NO1,EHPS,4100,2020-01-15,2020-01-30,9,0,37.6,,0,SS,P,E,P,000,1114318137
D,2020-36-04,5466,Z20JZPI0,20J,P,P,Z,Z,PI0,NPE,ESCF,2901,2020-01-21,2020-02-06,10,0,585.5,486.3,0,SS,P,E,P,000,1114318138
D,2020-36-04,5466,E20KPM00,20K,P,P,E,P,M00,NPE,EHPS,4400,2020-03-02,2020-03-03,2,-2,29.3,,0,SS,D,Z,Z,DI0,1114318139
D,2020-36-04,5466,Z20KZPR0,20K,P,P,Z,Z,PR0,NPE,ESCF,2901,2020-03-02,2020-03-02,1,1,284.5,463.7,0,FS,P,P,P,P00,1114318140
D,2020-36-04,5466,E20KP000,20K,P,P,E,P,000,NPE,EHPT,4400,2020-01-22,2020-02-24,21,0,931.9,721.4,0,SS,P,T,O,000,1114318141
D,2020-36-04,5466,T20KO000,20K,P,P,T,O,000,NPE,####,####,2020-01-22,2020-03-03,27,,0,0,0,,,,,,
D,2020-36-04,5466,A20KO000,20K,P,P,A,O,000,NPE,####,####,2020-01-22,2020-03-03,27,0,0,0,0,SS,P,E,P,000,1114318143
D,2020-36-04,5466,E20KPG00,20K,P,P,E,P,G00,NPE,EHPF,4400,2020-01-29,2020-02-24,19,2,777.3,721.4,0,SS,P,E,P,000,1114318144
D,2020-36-04,5466,Z63FZPI0,63F,P,P,Z,Z,PI0,NO1,ESCF,2901,2019-12-26,2019-12-31,4,0,138.8,115.5,0,SS,P,E,P,000,1114318145
D,2020-36-04,5466,Z50LZPI0,50L,P,P,Z,Z,PI0,NO1,ESCF,2901,2020-01-21,2020-01-22,2,0,109.7,93,0,SS,P,E,P,000,1114318146
D,2020-36-04,5466,Z50LZPR0,50L,P,P,Z,Z,PR0,NO1,ESCF,2901,2020-02-10,2020-02-10,1,1,87.4,93,0,FS,P,P,P,P00,1114318147
D,2020-36-04,5466,Z50NZPI0,50N,P,P,Z,Z,PI0,NO1,ESCF,2901,2020-01-22,2020-01-23,2,0,0,0,0,SS,P,E,P,000,1114318148
D,2020-36-04,5466,E50APS00,50A,P,P,E,P,S00,NO1,EHPS,4100,2020-01-16,2020-01-23,6,0,26.5,,0,SS,P,E,P,000,1114318149
D,2020-36-04,5466,A13DO000,13D,P,P,A,O,000,NO1,####,####,2019-12-31,2020-01-30,18,0,0,0,0,SS,P,E,P,000,1114318150
D,2020-36-04,5466,E13DP000,13D,P,P,E,P,000,NO1,EHPT,4100,2019-12-31,2020-01-17,12,0,156.5,94.4,0,SS,P,T,O,000,1114318151
D,2020-36-04,5466,P11BBP00,11B,P,E,P,B,P00,NO1,PBPT,6200,2019-11-15,2019-11-27,9,1,298.6,6408.9,6875.9,FS,E,P,B,C00,1114318152
D,2020-36-04,5466,E91AP000,91A,P,P,E,P,000,SHD,EHPT,9020,2019-09-30,2019-11-22,39,0,455.4,246.8,365,SS,P,T,O,000,1114318153
D,2020-36-04,5466,E10FPM00,10F,P,P,E,P,M00,NO1,EHPS,4100,2020-02-05,2020-02-06,2,,8,,,,,,,,
D,2020-36-04,5466,E50EPM00,50E,P,P,E,P,M00,NO1,EHPS,4100,2020-01-31,2020-02-03,2,,8.9,,,,,,,,
D,2020-36-04,5466,E10APM00,10A,P,P,E,P,M00,NO1,EHPS,4100,2019-12-05,2019-12-06,2,,6.5,,,,,,,,
D,2020-36-04,5466,E12DPM00,12D,P,P,E,P,M00,NO1,EHPS,4100,2020-01-29,2020-01-30,2,,20.5,,,,,,,,
D,2020-36-04,5466,E50GPM00,50G,P,P,E,P,M00,NO1,EHPS,4100,2020-02-07,2020-02-10,2,,8.7,,,,,,,,
D,2020-36-04,5466,E50HPM00,50H,P,P,E,P,M00,NO1,EHPS,4100,2020-02-13,2020-02-14,2,,13.8,,,,,,,,
D,2020-36-04,5466,E50FPM00,50F,P,P,E,P,M00,NO1,EHPS,4100,2020-02-04,2020-02-05,2,,11.4,,,,,,,,
D,2020-36-04,5466,E50MPM00,50M,P,P,E,P,M00,NO1,EHPS,4100,2020-02-11,2020-02-12,2,,10.2,,,,,,,,
D,2020-36-04,5466,E50KPM00,50K,P,P,E,P,M00,NPE,EHPS,4400,2020-02-04,2020-02-05,2,,8.1,,,,,,,,
D,2020-36-04,5466,W20KOP00,20K,P,P,W,O,P00,NPE,####,####,2020-01-22,2020-02-24,21,0,0,0,0,SS,P,E,P,000,1114318163
D,2020-36-04,5466,T20LO000,20L,P,P,T,O,000,NO1,####,####,2020-01-29,2020-03-04,26,,0,0,0,,,,,,
D,2020-36-04,5466,P20KPP00,20K,P,P,P,P,P00,NPE,PH00,6302,2020-02-25,2020-02-28,4,1,404.1,0,0,FS,P,W,O,P00,1114318165
D,2020-36-04,5466,A20LO000,20L,P,P,A,O,000,NO1,####,####,2020-01-29,2020-03-04,26,0,0,0,0,SS,P,E,P,000,1114318166
D,2020-36-04,5466,E20LPG00,20L,P,P,E,P,G00,NO1,EHPF,4100,2020-01-31,2020-02-25,18,2,1036.9,922,0,SS,P,E,P,000,1114318167
D,2020-36-04,5466,E20KPS00,20K,P,P,E,P,S00,NPE,EHPS,4400,2020-01-22,2020-02-12,13,0,125.3,,0,SS,P,E,P,000,1114318168
D,2020-36-04,5466,Z20KZPI0,20K,P,P,Z,Z,PI0,NPE,ESCF,2901,2020-01-22,2020-02-06,9,0,573.5,476.7,0,SS,P,E,P,000,1114318169
D,2020-36-04,5466,E20LPM00,20L,P,P,E,P,M00,NO1,EHPS,4100,2020-03-03,2020-03-04,2,-2,19,,0,SS,D,Z,Z,DI0,1114318170
D,2020-36-04,5466,Z20LZPR0,20L,P,P,Z,Z,PR0,NO1,ESCF,2901,2020-03-03,2020-03-03,1,1,423.9,436.2,0,FS,P,P,P,P00,1114318171
D,2020-36-04,5466,W20LOP00,20L,P,P,W,O,P00,NO1,####,####,2020-01-29,2020-02-25,20,0,0,0,0,SS,P,E,P,000,1114318172
D,2020-36-04,5466,E20LP000,20L,P,P,E,P,000,NO1,EHPT,4100,2020-01-29,2020-02-25,20,0,1157.8,922,0,SS,P,T,O,000,1114318173
D,2020-36-04,5466,P20LPP00,20L,P,P,P,P,P00,NO1,PH00,6302,2020-02-26,2020-03-02,4,1,368.5,0,0,FS,P,W,O,P00,1114318174
D,2020-36-04,5466,E20LPS00,20L,P,P,E,P,S00,NO1,EHPS,4100,2020-01-29,2020-02-18,15,0,101.9,,0,SS,P,E,P,000,1114318175
D,2020-36-04,5466,Z20LZPI0,20L,P,P,Z,Z,PI0,NO1,ESCF,2901,2020-01-29,2020-02-12,11,0,705.5,580.2,0,SS,P,E,P,000,1114318176
D,2020-36-04,5466,E20MPM00,20M,P,P,E,P,M00,NO1,EHPS,4100,2020-03-03,2020-03-04,2,-2,18.6,,0,SS,D,Z,Z,DI0,1114318177
D,2020-36-04,5466,Z20MZPR0,20M,P,P,Z,Z,PR0,NO1,ESCF,2901,2020-03-03,2020-03-03,1,1,368.4,493.7,0,FS,P,P,P,P00,1114318178
D,2020-36-04,5466,E20MP000,20M,P,P,E,P,000,NO1,EHPT,4100,2020-01-30,2020-02-25,19,0,969.1,775,0,SS,P,T,O,000,1114318179
D,2020-36-04,5466,T20MO000,20M,P,P,T,O,000,NO1,####,####,2020-01-30,2020-03-04,25,,0,0,0,,,,,,
D,2020-36-04,5466,E50NPM00,50N,P,P,E,P,M00,NO1,EHPS,4100,2020-02-07,2020-02-10,2,,9.9,,,,,,,,
D,2020-36-04,5466,E50CPM00,50C,P,P,E,P,M00,NO1,EHPS,4100,2020-01-20,2020-01-21,2,,8.2,,,,,,,,
D,2020-36-04,5466,E80APM00,80A,P,P,E,P,M00,NO1,EHPS,4100,2020-03-04,2020-03-05,2,,11.6,,,,,,,,
D,2020-36-04,5466,E62CPM00,62C,P,P,E,P,M00,NO1,EHPS,4100,2020-01-16,2020-01-17,2,,6.3,,,,,,,,
D,2020-36-04,5466,E90APM00,90A,P,P,E,P,M00,SHD,EDPS,9020,2020-02-07,2020-02-10,2,,11.3,,,,,,,,
D,2020-36-04,5466,E22APM00,22A,P,P,E,P,M00,NO1,EHPS,4100,2020-01-09,2020-01-10,2,,11.3,,,,,,,,
D,2020-36-04,5466,E50DPM00,50D,P,P,E,P,M00,NO1,EHPS,4100,2020-01-30,2020-01-31,2,,8.2,,,,,,,,
D,2020-36-04,5466,E12EPM00,12E,P,P,E,P,M00,NO1,EHPS,4100,2020-01-31,2020-02-03,2,,18.2,,,,,,,,
D,2020-36-04,5466,E63CPM00,63C,P,P,E,P,M00,NO1,EHPS,4100,2020-01-16,2020-01-17,2,,6.3,,,,,,,,
D,2020-36-04,5466,E23BPM00,23B,P,P,E,P,M00,NO1,EHPS,4100,2020-01-09,2020-01-10,2,,5.9,,,,,,,,
D,2020-36-04,5466,Z20MZPI0,20M,P,P,Z,Z,PI0,NO1,ESCF,2901,2020-01-30,2020-02-13,11,0,693.5,685.7,0,SS,P,E,P,000,1114318191
D,2020-36-04,5466,A20MO000,20M,P,P,A,O,000,NO1,####,####,2020-01-30,2020-03-04,25,0,0,0,0,SS,P,E,P,000,1114318192
D,2020-36-04,5466,E20MPG00,20M,P,P,E,P,G00,NO1,EHPF,4100,2020-02-03,2020-02-25,17,2,853.8,775,0,SS,P,E,P,000,1114318193
D,2020-36-04,5466,Z62GZPI0,62G,P,P,Z,Z,PI0,NO1,ESCF,2901,2020-01-10,2020-01-15,4,0,117.7,98,0,SS,P,E,P,000,1114318194
D,2020-36-04,5466,W20MOP00,20M,P,P,W,O,P00,NO1,####,####,2020-01-30,2020-02-25,19,0,0,0,0,SS,P,E,P,000,1114318195
D,2020-36-04,5466,P20MPP00,20M,P,P,P,P,P00,NO1,PH00,6302,2020-02-26,2020-03-02,4,1,399,0,0,FS,P,W,O,P00,1114318196
D,2020-36-04,5466,E20MPS00,20M,P,P,E,P,S00,NO1,EHPS,4100,2020-01-30,2020-02-19,15,0,96.7,,0,SS,P,E,P,000,1114318197
D,2020-36-04,5466,E13EPM00,13E,P,P,E,P,M00,NO1,EHPS,4100,2020-01-31,2020-02-03,2,,17,,,,,,,,
D,2020-36-04,5466,E62AP000,62A,P,P,E,P,000,NO1,EHPT,4100,2019-12-24,2020-01-10,11,0,101.8,64.1,0,SS,P,T,O,000,1114318199
D,2020-36-04,5466,W10AOP00,10A,P,P,W,O,P00,NO1,####,####,2019-11-11,2019-11-28,14,0,0,0,0,SS,P,E,P,000,1114318200
D,2020-36-04,5466,E62DPG00,62D,P,P,E,P,G00,NO1,EHPF,4100,2019-12-26,2020-01-09,9,2,108.9,111.2,0,SS,P,E,P,000,1114318201
D,2020-36-04,5466,E62DPS00,62D,P,P,E,P,S00,NO1,EHPS,4100,2019-12-23,2020-01-06,8,0,26.8,,0,SS,P,E,P,000,1114318202
