COMPANYID,RELATIONNO,CASENO,PROJECTNO,PREVACTIVITYCODE,NEXTACTIVITYCODE,RELATIONTYPE,PITCH,LAG,NETWORKID,LOCATIONCODE,LOCATIONTYPE,CREATEDATE,CREATEUSER,UPDATEDATE,UPDATEUSER,FLAGCODE,PROCESSCODE,PROCESSSERNO
D,1114318322,2020-36-04,5466,E50BP000,W50BOP00,SS,,0,,50B,P,2020-04-21,1008003,,,,,
D,1114318558,2020-36-04,5466,E50CP000,W50COP00,SS,,0,,50C,P,2020-04-21,1008003,,,,,
D,1114318215,2020-36-04,5466,E50DP000,W50DOP00,SS,,0,,50D,P,2020-04-21,1008003,,,,,
D,1114318125,2020-36-04,5466,E50EP000,W50EOP00,SS,,0,,50E,P,2020-04-21,1008003,,,,,
D,1114318418,2020-36-04,5466,E50FP000,W50FOP00,SS,,0,,50F,P,2020-04-21,1008003,,,,,
D,1114318608,2020-36-04,5466,E50GP000,W50GOP00,SS,,0,,50G,P,2020-04-21,1008003,,,,,
D,1114318444,2020-36-04,5466,E50HP000,W50HOP00,SS,,0,,50H,P,2020-04-21,1008003,,,,,
D,1114318218,2020-36-04,5466,E50JP000,W50JOP00,SS,,0,,50J,P,2020-04-21,1008003,,,,,
D,1114318109,2020-36-04,5466,E50KP000,W50KOP00,SS,,0,,50K,P,2020-04-21,1008003,,,,,
D,1114318264,2020-36-04,5466,E50LP000,W50LOP00,SS,,0,,50L,P,2020-04-21,1008003,,,,,
D,1114318290,2020-36-04,5466,E50MP000,W50MOP00,SS,,0,,50M,P,2020-04-21,1008003,,,,,
D,1114318549,2020-36-04,5466,E50NP000,W50NOP00,SS,,0,,50N,P,2020-04-21,1008003,,,,,
D,1114172382,2020-36-04,5466,S521A000,W521GA00,FS,,-4,,521,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114172383,2020-36-04,5466,S521A000,W521GC00,SS,,4,,521,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114172384,2020-36-04,5466,S522A000,W522GA00,FS,,-1,,522,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114172385,2020-36-04,5466,S522A000,W522GC00,SS,,4,,522,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114172386,2020-36-04,5466,S523A000,W523GA00,FS,,-1,,523,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114172387,2020-36-04,5466,S523A000,W523GC00,SS,,4,,523,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114172388,2020-36-04,5466,S524A000,W524GA00,FS,,-1,,524,B,2020-04-20,1007589,2020-04-20,1007589,,,
D,1114172389,2020-36-04,5466,S524A000,W524GC00,SS,,4,,524,B,2020-04-20,1007589,2020-04-20,1007589,,,
