PROJECTNO,PREVACTIVITYCODE,NEXTACTIVITYCODE,LOCATIONCODE,LAG,LOCATIONTYPE,RELATIONTYPE
5466,S235A000,W235GA00,235,-4,B,FS
5466,S235A000,W235GC00,235,4,B,SS
5466,S236A000,W236GA00,236,-4,B,FS
5466,S236A000,W236GC00,236,4,B,SS
5466,S236A000,W236GS00,236,0,B,SS
5466,S237A000,W237GA00,237,-4,B,FS
5466,S237A000,W237GC00,237,4,B,SS
5466,S238A000,W238GA00,238,-4,B,FS
5466,S238A000,W238GC00,238,4,B,SS
5466,S238A000,W238GS00,238,0,B,SS
5466,S239A000,W239GA00,239,-4,B,FS
5466,S239A000,W239GC00,239,4,B,SS
5466,E23AP000,W23AOP00,23A,0,P,SS
5466,E23BP000,W23BOP00,23B,0,P,SS
5466,S241A000,W241GA00,241,-4,B,FS
5466,S241A000,W241GC00,241,4,B,SS
5466,S242A000,W242GA00,242,-4,B,FS
5466,S242A000,W242GC00,242,4,B,SS
5466,S243A000,W243GA00,243,-4,B,FS
5466,S243A000,W243GC00,243,4,B,SS
5466,S244A000,W244GA00,244,-4,B,FS
5466,S244A000,W244GC00,244,4,B,SS
5466,S251A000,W251GA00,251,-4,B,FS
5466,S251A000,W251GC00,251,4,B,SS
5466,S252A000,W252GA00,252,-4,B,FS
5466,S252A000,W252GC00,252,4,B,SS
5466,S253A000,W253GA00,253,-4,B,FS
5466,S253A000,W253GC00,253,4,B,SS
5466,S254A000,W254GA00,254,-4,B,FS
5466,S254A000,W254GC00,254,4,B,SS
5466,S261A000,W261GA00,261,-4,B,FS
5466,S261A000,W261GC00,261,4,B,SS
5466,S262A000,W262GA00,262,-4,B,FS
5466,S262A000,W262GC00,262,4,B,SS
5466,S263A000,W263GA00,263,-4,B,FS
5466,S263A000,W263GC00,263,4,B,SS
5466,S271A000,W271GA00,271,-4,B,FS
5466,S271A000,W271GC00,271,4,B,SS
5466,S272A000,W272GA00,272,-4,B,FS
5466,S272A000,W272GC00,272,4,B,SS
5466,S273A000,W273GA00,273,-4,B,FS
5466,S273A000,W273GC00,273,4,B,SS
5466,S283A000,W283GA00,283,-4,B,FS
5466,S283A000,W283GC00,283,4,B,SS
5466,S284A000,W284GA00,284,1,B,FS
5466,S284A000,W284GC00,284,4,B,SS
5466,S293A000,W293GA00,293,-4,B,FS
5466,S293A000,W293GC00,293,4,B,SS
5466,S294A000,W294GA00,294,1,B,FS
5466,S294A000,W294GC00,294,4,B,SS
5466,P421BC00,P421BP00,421,1,B,FS
5466,T421O000,W421ON00,421,62,P,SS
5466,S423A000,W423GA00,423,-1,B,FS
5466,S424A000,W424GA00,424,-1,B,FS
5466,S426A000,W426GA00,426,-1,B,FS
5466,S427A000,W427GA00,427,-1,B,FS
5466,S428A000,W428GA00,428,-1,B,FS
5466,P431BC00,P431BP00,431,1,B,FS
5466,T431O000,W431ON00,431,62,P,SS
5466,S433A000,W433GA00,433,-1,B,FS
5466,S434A000,W434GA00,434,-1,B,FS
5466,S436A000,W436GA00,436,-1,B,FS
5466,S437A000,W437GA00,437,-1,B,FS
5466,S438A000,W438GA00,438,-1,B,FS
5466,S441A000,W441GA00,441,-1,B,FS
5466,S442A000,W442GA00,442,-1,B,FS
5466,S443A000,W443GA00,443,-1,B,FS
5466,S451A000,W451GA00,451,-1,B,FS
5466,S452A000,W452GA00,452,-1,B,FS
5466,S453A000,W453GA00,453,-1,B,FS
