PROJECTNO,ACTIVITYCODE,LOCATIONCODE,LOCATIONTYPE,DESCRIPTION,PLANDURATION,물량,단위, 작업장
5466,W106GL00,106,B,106 COUPLAR BASE 설치,4,-,-,#N/A
5466,W143GL00,143,B,143 COUPLAR BASE 설치,4,-,-,#N/A
5466,W132GL00,132,B,132 COUPLAR BASE 설치,4,-,-,#N/A
5466,C205CP00,205,B,205 BLK J Stage 절단 전처리,14,0,TON,가공-상선-전처리
5466,Z523ZBI0,523,B,523 BLK B Stage 발판 설치,1,49,매,발판지원-상선 일반발판
5466,Z628ZBR0,628,B,628 BLK B Stage 발판 해체,1,335.7,매,발판지원-상선 일반발판
5466,W654GA00,654,B,654 BLK A Stage 대조 의장 ('A'),9,1188.2,KG,조립의장-상선관철
5466,P253BP00,253,B,253 BLK B Stage 선행 도장,6,7080.6,M2,선행도장-상선-도장
5466,C525CC00,525,B,525 BLK J Stage 절단,12,242.4,TON,가공-상선-절단
5466,P171BC00,171,B,171 BLK B Stage 선행 도장 전처리,1,1294.045,M2,선행도장-상선-전처리
5466,S822A000,822,B,822 BLK B Stage 조립,23,965.9,JL,조립5-조립 GBS
5466,C433CP00,433,B,433 BLK J Stage 절단 전처리,8,0,TON,가공-상선-전처리
5466,Z133ZBR0,133,B,133 BLK B Stage 발판 해체,2,330.7,매,발판지원-상선 일반발판
5466,C452CP00,452,B,452 BLK J Stage 절단 전처리,8,0,TON,가공-상선-전처리
5466,C932CP00,932,B,932 BLK J Stage 절단 전처리,14,0,TON,가공-상선-전처리
5466,C527CP00,527,B,527 BLK J Stage 절단 전처리,14,0,TON,가공-상선-전처리
5466,S952A000,952,B,952 BLK B Stage 조립,15,0,0,사외-조립-신한기계-선실용
5466,S906A000,906,B,906 BLK B Stage 조립,15,0,0,사외-조립-신한기계-선실용
5466,P812BP00,812,B,812 BLK B Stage 선행 도장,9,105.2,M²,사외-선행도장-해양-도장-성원기업
5466,C124CP00,124,B,124 BLK J Stage 절단 전처리,23,0,TON,가공-상선-전처리
